name,isExcluded,orderProximity,memoryFactor,bookmarkFactor,totalWeight,picks,expectedPct,actualPct,delta%,lastSeen
"File 235","false","0.0000","1","1","0.8498365855987975","1","0.224","0.500","0.28","2026-05-21T18:30:36.475Z"
"File 339","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 335","false","0.0000","0.5638984138618348","1","0.3912827184296878","2","0.103","1.000","0.90","2026-05-21T18:34:14.598Z"
"File 227","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 367","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 331","false","0.0000","1","1","0.8498365855987975","1","0.224","0.500","0.28","2026-05-21T18:30:40.960Z"
"File 305","false","0.0000","1","1","0.8498365855987975","1","0.224","0.500","0.28","2026-05-21T18:31:45.666Z"
"File 223","false","0.0000","1","1","0.8498365855987975","1","0.224","0.500","0.28","2026-05-21T18:31:00.682Z"
"File 366","false","0.0000","0.8451700641394974","1","0.5864539287619341","2","0.155","1.000","0.85","2026-05-21T18:33:00.618Z"
"File 303","false","0.0000","0.6692321861583134","1","0.5687379960575999","1","0.150","0.500","0.35","2026-05-21T18:33:48.950Z"
"File 301","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 219","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 361","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 354","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 299","false","0.0000","1","1","0.8498365855987975","1","0.224","0.500","0.28","2026-05-21T18:30:10.900Z"
"File 183","false","0.0000","1","2.5","0.8498365855987976","1","0.224","0.500","0.28","2026-05-21T18:34:10.607Z"
"File 352","false","0.0000","1","1","0.8498365855987975","1","0.224","0.500","0.28","2026-05-21T18:30:23.138Z"
"File 347","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 298","false","0.0000","0.647362032626766","1","0.5501519394538281","1","0.145","0.500","0.35","2026-05-21T18:33:52.507Z"
"File 396","false","0.0000","1","2.5","0.8498365855987976","1","0.224","0.500","0.28","2026-05-21T18:36:10.510Z"
"File 177","false","0.0000","1","2.5","0.8498365855987976","1","0.224","0.500","0.28","2026-05-21T18:32:45.972Z"
"File 394","false","0.0000","1","1","0.8498365855987975","1","0.224","0.500","0.28","2026-05-21T18:31:11.421Z"
"File 294","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 393","false","0.0000","0.7487837491108397","1","0.6363438246962226","1","0.168","0.500","0.33","2026-05-21T18:33:23.812Z"
"File 292","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 289","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 246","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 375","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 447","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 176","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 178","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 179","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 184","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 180","false","0.0000","1","2.5","2.124591463996994","1","0.561","0.500","-0.06","2026-05-21T18:32:41.095Z"
"File 168","false","0.0000","0.3866746531863724","1","0.26830915946447675","2","0.071","1.000","0.93","2026-05-21T18:35:21.928Z"
"File 167","false","0.0000","1","2.5","0.8498365855987976","1","0.224","0.500","0.28","2026-05-21T18:33:04.967Z"
"File 166","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 189","false","0.0000","1","2.5","0.693888666488711","2","0.183","1.000","0.82","2026-05-21T18:36:19.688Z"
"File 192","false","0.0000","1","1","0.8498365855987975","1","0.224","0.500","0.28","2026-05-21T18:30:53.044Z"
"File 191","false","0.0000","1","1","1.2018504251546631","0","0.317","0.000","-0.32","never"
"File 193","false","0.0000","1","2.5","2.124591463996994","1","0.561","0.500","-0.06","2026-05-21T18:32:50.098Z"
"File 194","false","0.0000","1","2.5","1.7347216662217773","2","0.458","1.000","0.54","2026-05-21T18:33:44.228Z"
